PWY-6892	thiazole component of thiamine diphosphate biosynthesis I	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY-6608	guanosine nucleotides degradation III	
PWY0-1296	purine ribonucleosides degradation	
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	
ORNDEG-PWY	superpathway of ornithine degradation	
PWY-6019	pseudouridine degradation	
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	galacturonate and glucuronate catabolism	superpathway of galacturonate and glucuronate degradation
PWY-7179	purine deoxyribonucleosides degradation I	
PWY0-901	L-selenocysteine biosynthesis I (bacteria)	
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	
PWY0-1061	superpathway of L-alanine biosynthesis	
PWY-6071	superpathway of phenylethylamine degradation	
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation	
SER-GLYSYN-PWY-1	superpathway of L-serine and glycine biosynthesis I	
PWY-5155	&beta;-alanine biosynthesis III	
PWY-7208	superpathway of pyrimidine nucleobases salvage	
PPGPPMET-PWY	ppGpp metabolism	guanosine 3'-diphosphate 5'-diphosphate biosynthesis	ppGpp biosynthesis
PWY-5485	pyruvate fermentation to acetate IV	pyruvic acid fermentation to acetic acid IV
PWY-6151	<i>S</i>-adenosyl-L-methionine salvage I	SAM cycle	activated methyl cycle	AMC	<i>S</i>-adenosyl-L-methionine cycle I
LPSSYN-PWY	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis	
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis
PWY0-781	aspartate superpathway	
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	
PWY-6897	thiamine diphosphate salvage II	thiamin salvage II
ALANINE-SYN2-PWY	L-alanine biosynthesis II	
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
PWY0-1303	aminopropylcadaverine biosynthesis	
PWY0-1021	L-alanine biosynthesis III	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	
PWY-8072	alanine racemization	
PWY-6628	superpathway of L-phenylalanine biosynthesis	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	superpathway of ubiquinone-8 biosynthesis (prokaryotic)	superpathway of ubiquinol-8 biosynthesis (prokaryotic)
PWY0-1313	acetate conversion to acetyl-CoA	acetic acid conversion to acetyl-CoA
PWY0-1325	superpathway of L-asparagine biosynthesis	
PWY-6038	citrate degradation	
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	
PWY-5162	2-hydroxypenta-2,4-dienoate degradation	2-oxopent-4-enoate degradation	2-ketopentenoate degradation	2-oxopentenoate degradation	(2Z)-2-hydroxypenta-2,4-dienoate degradation
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY0-1465	D-malate degradation	
COA-PWY	coenzyme A biosynthesis I (bacteria)	CoA biosynthesis
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	superpathway of thiamine diphosphate biosynthesis (E .coli)	superpathway of vitamin B<sub>1</sub> biosynthesis (E .coli)
PWY-8171	molybdenum cofactor biosynthesis	moco biosynthesis	molybdopterin biosynthesis
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	pyruvic acid decarboxylation to acetyl CoA	pyruvate dehydrogenase system
PWY-6823	molybdopterin biosynthesis	
PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis	bisMGD biosynthesis	bis-MPT guanine dinucleotide cofactor biosynthesis
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
FERMENTATION-PWY	mixed acid fermentation	fermentation
PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor biosynthesis	bis-MGD sulfulylation
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	&gamma;-amino-butyrate shunt	GABA degradation
PWY-6476	cytidylyl molybdenum cofactor biosynthesis	MCD biosynthesis	molybdopterin cytosine dinucleotide biosynthesis
SO4ASSIM-PWY	assimilatory sulfate reduction I	
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-5705	allantoin degradation to glyoxylate III	
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	
DENOVOPURINE2-PWY	superpathway of purine nucleotides <i>de novo</i> biosynthesis II	
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	vitamin B<sub>6</sub> biosynthesis and salvage
PWY-7194	pyrimidine nucleobases salvage II	cytosine salvage
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-6629	superpathway of L-tryptophan biosynthesis	
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis III (<i>E. coli</i>)	
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	
LIPA-CORESYN-PWY	lipid A-core biosynthesis (<i>E. coli</i> K-12)	
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Interconversion of L-aspartate and L-asparagine
PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	
GLYCOCAT-PWY	glycogen degradation I	glycogen catabolism I
PWY-6579	superpathway of guanine and guanosine salvage	
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	D-glucarate and D-galactarate catabolism super-pathway	aldarate catabolism
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	L-arginine utilization	ADC pathway
CYANCAT-PWY	cyanate degradation	cyanate catabolism
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)	L-tryptophan degradation II (via pyruvic acid )
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	lipid-A-precursor biosynthesis (<i>E. coli</i>)
PWY0-1471	uracil degradation III	Rut pathway	Rut pyrimidine catabolic pathway
XYLCAT-PWY	D-xylose degradation I	D-xylose catabolism
PWY-6772	hydrogen production V	
PWY-8274	pyruvate fermentation to (<i>R</i>)-lactate	pyruvic acid fermentation to D-lactic acid
PWY-5350	thiosulfate disproportionation IV (rhodanese)	
PWY-6703	preQ<sub>0</sub> biosynthesis	deazapurine biosynthesis	7-cyano-7-deazaguanine biosynthesis	7-cyano-7-carbaguanine biosynthesis
GALACTARDEG-PWY	D-galactarate degradation I	D-galactarate catabolism
PWY-6153	autoinducer AI-2 biosynthesis I	
PWY-5436	L-threonine degradation IV	
THREONINE-DEG2-PWY	L-threonine degradation II	threonine dehydrogenase pathway	TDG pathway
TRNA-CHARGING-PWY	tRNA charging	
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)	
PWY-5901	2,3-dihydroxybenzoate biosynthesis	
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY-5484	glycolysis II (from fructose 6-phosphate)	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	
PWY0-521	fructoselysine and psicoselysine degradation	fructoselysine degradation
BGALACT-PWY	lactose degradation III	lactose degradation 3
PWY0-1498	ZraSR Two-Component Signal Transduction System	HydHG Two Component Signal Transduction System	Zra envelope stress response system
PWY0-1550	PyrSR Two-Component Signal Transduction System	YpdAB
PWY0-1493	Rcs Signal Transduction System	Rcs phosphorelay
PWY0-1280	ethylene glycol degradation	
PWY0-1515	NarX Two-Component Signal Transduction System, nitrate dependent	
PWY0-1487	CreCB Two-Component Signal Transduction System	CreCB
PWY-5973	<i>cis</i>-vaccenate biosynthesis	<i>cis</i> vaccenic acid acid biosynthesis
PWY0-1509	NtrBC Two-Component Regulatory System	Nitrogen Assimilation Two-Component System	NRII-NRI Two-Component Regulatory System
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	alkanesulfonate monooxygenase two-component system	alkanesulfonate monooxygenase
PWY0-1482	BasSR Two-Component Signal Transduction System	PmrAB two-component system
PWY0-1503	GlrKR Two-Component Signal Transduction System	QseEF
PWY0-1470	QseBC Two-Component Signal Transduction System, quorum sensing related	QseBC
PWY0-1499	DpiBA Two-Component Signal Transduction System	CitAB Two-Component Signal Transduction System
PWY0-1559	BtsSR Two-Component Signal Transduction System	BtsSR	BtsSR TCS	YehUT
PWY0-1495	KdpDE Two-Component Signal Transduction System, potassium-dependent	
PWY0-1518	Chemotactic Two-Component Signal Transduction	chemotaxis
PWY0-1490	EvgSA Two-Component Signal Transduction System	
PWY0-1512	CusSR Two-Component Signal Transduction System	
PWY0-1483	PhoRB Two-Component Signal Transduction System, phosphate-dependent	phosphate regulatory system	PhoRB
PWY0-1505	ArcAB Two-Component Signal Transduction System, quinone dependent	
PWY0-1474	AtoSC Two-Component Signal Transduction System	AtoSC system	Ato system
PWY0-1500	EnvZ/OmrR Two-Component Signal Transduction System	Osmoregulatory Two Component Signal Transduction System	EnvZ OmpR system
PWY0-1458	PhoQP Two-Component Signal Transduction System, magnesium-dependent	PhoQP system
PWY0-1588	HprSR Two-Component Signal Transduction System	HprSR TCS
PWY0-1497	RstBA Two-Component Signal Transduction System	
PWY0-1519	Aerotactic Two-Component Signal Transduction System	Energy taxis signal transduction	Redox taxis signal transduction
PWY0-1492	UhpBA Two Component Signal Transduction System	
PWY0-1514	NarQ Two-Component Signal Transduction System, nitrate dependent	
PWY0-1485	CpxAR Two-Component Signal Transduction System	CpxAR	Cpx Pathway
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY0-1506	TorTSR Signal Transduction System, TMAO dependent	
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
PWY0-1481	BaeSR Two-Component Signal Transduction System	BaeSR	BaeSR system
PWY-7193	pyrimidine ribonucleosides salvage I	
PWY0-1501	BarA UvrY Two-Component Signal Transduction System	
PWY0-163	salvage pathways of pyrimidine ribonucleotides	pyrimidine ribonucleotide/ribonucleoside metabolism
PWY0-1468	DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent	DcuSR	Dcu system
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
PWY-6556	pyrimidine ribonucleosides salvage II	
PWY-6617	adenosine nucleotides degradation III	adenosine ribonucleotide/ribonucleoside metabolism
PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides	deoxypyrimidine nucleotide/nucleoside metabolism
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-7205	CMP phosphorylation	
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY-7195	pyrimidine ribonucleosides salvage III	
GLUTDEG-PWY	L-glutamate degradation II	L-glutamate - L-aspartate pathway	L-aspartate degradation
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)	
PWY-6952	glycerophosphodiester degradation	
PWY-4261	glycerol degradation I	
PWY-6537	4-aminobutanoate degradation II	4-aminobutyrate degradation II	4-aminobutanoic acid degradation II
GLYCEROLMETAB-PWY	glycerol degradation V	
PWY-6535	4-aminobutanoate degradation I	&gamma;-amino-butyrate shunt	GABA degradation	4-aminobutyrate degradation I	4-aminobutanoic acid degradation I
PWY-7446	sulfoquinovose degradation I	sulphoglycolysis	sulfoglycolysis	sulfo-EMP pathway
PWY0-1477	ethanolamine utilization	
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	
PWY-6618	guanine and guanosine salvage III	
PWY-6620	guanine and guanosine salvage I	
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I	<i>D</i>-glucarate catabolism
P2-PWY	citrate lyase activation	
PWY-7181	pyrimidine deoxyribonucleosides degradation	
PWY0-321	phenylacetate degradation I (aerobic)	
PWY0-1295	pyrimidine ribonucleosides degradation	
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
PWY0-43	conversion of succinate to propanoate	conversion of succinate to propionate
PWY-8457	thiamine diphosphate salvage V	thiamin salvage V
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
ALADEG-PWY	L-alanine degradation I	
IDNCAT-PWY	L-idonate degradation	L-idonic acid catabolism	L-idonate catabolism
GALACTCAT-PWY	D-galactonate degradation	D-galactonate catabolism
PWY0-1306	L-galactonate degradation	
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex	2-oxoglutarate dehydrogenase system	2-ketoglutarate dehydrogenase system	&alpha;-ketoglutarate dehydrogenase system
GLUCONSUPER-PWY	D-gluconate degradation	gluconate utilization
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
TCA	TCA cycle I (prokaryotic)	tricarboxylic acid cycle	citric acid cycle	Krebs cycle	Szent-Gyorgyi-Krebs cycle
PWY0-1517	sedoheptulose bisphosphate bypass	
PWY-8291	L-aspartate degradation II (aerobic)	
GLYOXYLATE-BYPASS	glyoxylate cycle	glyoxylate bypass	glyoxylate shunt
PWY-8294	L-aspartate degradation III (anaerobic)	
PWY-7980	ATP biosynthesis	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	
PWY-5686	UMP biosynthesis I	uridine-5'-phosphate biosynthesis I	<i>de novo</i> biosynthesis of uridine-5'-phosphate I	<i>de novo</i> biosynthesis of uridine-5'-monophosphate I
PWY0-1182	trehalose degradation II (cytosolic)	
PWY0-1466	trehalose degradation VI (periplasmic)	
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	
PWY-5340	sulfate activation for sulfonation	sulfation pathway
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	acetyl-CoA biosynthesis (from alcohol)
PWY0-1535	D-serine degradation	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)	
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	
TRESYN-PWY	trehalose biosynthesis I	trehalose biosynthesis
PWY-5480	pyruvate fermentation to ethanol I	pyruvic acid fermentation to ethanol I
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY0-1608	glycine degradation	
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I	
PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I	
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transfer	
PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer	
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II	
PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer	pyruvic acid to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer	
PWY0-1590	NADH to hydrogen peroxide electron transfer	
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer	
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II	
PWY0-1261	peptidoglycan recycling I	1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I	cell wall recycling I	anhydromuropeptides recycling I
PWY-7545	pyruvate to cytochrome <i>bd</i> oxidase electron transfer	pyruvate oxidation pathway	pyruvic acid to cytochrome <i>bd</i> oxidase electron transfer
FUCCAT-PWY	L-fucose degradation I	L-fucose catabolism
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	
PWY0-1301	melibiose degradation	
PWY0-1591	glycerol-3-phosphate to hydrogen peroxide electron transport	
PWY0-1314	fructose degradation	
PWY0-1337	oleate &beta;-oxidation	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
FAO-PWY	fatty acid &beta;-oxidation I (generic)	
PWY0-44	D-allose degradation	D-allose catabolism
PWY-40	putrescine biosynthesis I	
LYXMET-PWY	L-lyxose degradation	L-lyxose metabolism
PWY-46	putrescine biosynthesis III	ODC pathway
RIBOKIN-PWY	ribose phosphorylation	ribose catabolism
PWY-5971	palmitate biosynthesis II (type II fatty acid synthase)	palmitate biosynthesis II (bacteria and plant cytoplasm)
PWY-5329	L-cysteine degradation III	hydrogen sulfide biosynthesis I
LCYSDEG-PWY	L-cysteine degradation II	L-cysteine catabolism	L-cysteine degradation
PWY0-1317	L-lactaldehyde degradation (aerobic)	
PWY0-1315	L-lactaldehyde degradation (anaerobic)	
