CPLX0-8085			PuuR-putrescine	
CPLX0-8026			MetJ-MTA	
CPLX0-7702			CueR-Cu<sup>+</sup>	
CPLX0-6			DNA-binding transcriptional dual regulator ModE-molybdate	ModE, ModE-MoO<sub>4</sub><sup>2-</sup>
MONOMER0-2482			AlsR-D-allose	RpiR, YjcY, AlsR, AlsR-allose
MONOMER0-160			DnaA-ATP	
MONOMER-48			BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase	DhbB, BioR, BirA, BirA-bio-5'-AMP
CPLX0-8577			FrlR- <i>N</i><sup>6</sup>-(1-deoxy-6-<i>O</i>-phospho-D-fructos-1-yl)-L-lysine	FrlR-N<sup>6</sup>-(6-phospho-D-fructosyl)-L-lysine
CPLX0-8071			AllR-allantoin	
CPLX0-7751			NsrR-nitric oxide	
CPLX0-7681			XapR-xanthosine DNA-binding transcriptional activator	
CPLX0-226			CRP-cyclic-AMP DNA-binding transcriptional dual regulator	CRP-cAMP
MONOMER0-2261			NagC-<i>N</i>-acetyl-D-glucosamine 6-phosphate	NagR, B0676, NagC, NagC-NAcGlc-6-P
MONOMER0-157			MetJ-S-adenosylmethionine	B3938, MetJ, MetJ-SAM
CPLX0-9750			AcrR-ethidium bromide	
CPLX0-8287			DgoR-D-galactonate	
CPLX0-8062			CaiF-L-carnitine DNA-binding Transcriptional Activator	
CPLX0-7746			MurR-<i>N</i>-acetyl-D-muramate 6-phosphate	MurR-MurNAc-6-P
CPLX0-7671			ArgP-L-arginine  DNA-binding transcriptional dual regulator	ArgP-arginine
CPLX-172			AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator	AraC-arabinose
MONOMER0-2162			UlaR-L-ascorbate-6-phosphate	YjfQ, B4191, UlaR, UlaR-L-ascorbate-6P
MONOMER0-1301			IdnR-5-dehydro-D-gluconate DNA-binding transcriptional dual regulator	B4264, YjgS, GntH, IdnR, IdnR-5-ketogluconate
CPLX0-9742			AcrR-putrescine	
CPLX0-8257			XynR-D-xylonate	
CPLX0-8058			RutR-thymine	
CPLX0-7739			ArsR-antimonite	
CPLX0-7650			FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator	
CPLX-124			RhaS-L-rhamnose DNA-binding transcriptional activator	RhaS-rhamnose
RIBONUCLEOSIDE-TRIP-REDUCT-CPLX			anaerobic ribonucleoside-triphosphate reductase	
PHOSPHO-CHEY	EG10150		CheY-P<sup>asp</sup>	CheY, phosphorylated chemotaxis regulator protein CheY, phospho-CheY
CPLX0-2			oxidized flavorubredoxin	
OX-THIOREDOXIN2-MONOMER	EG11887		oxidized thioredoxin 2	YfiG, TrxC
TAR-GLU			Tar<SUP>glu</SUP>	
MONOMER0-4210	EG11367		BarA-<i>N</i>-phospho-L-histidine-302	BarA-P<sup>his302</sup>, His-302 phosphorylated BarA
PHOSPHO-NARL	EG10643		DNA-binding transcriptional dual regulator NarL-phosphorylated	NarR, FrdR, NarL, NarL-P<sup>asp59</sup>, NarL response regulator - phosphorylated
ENTB-CPLX			<i>holo</i>-EntB dimer	holo-EntB
CPLX0-8580			DinJ-YafQ-phosphate	
PHOSPHO-BASR	EG11615		DNA-binding transcriptional dual regulator BasR-phosphorylated	PmrA, BasR, BasR-P<sup>asp51</sup>, BasR response regulator - phosphorylated
BOUND-TORT	G6515		TorT-TMAO	YccH, TorT, inducer-binding protein TorT-TMAO, bound inducer-binding protein TorT
OX-GLUTAREDOXIN-B	EG12688		oxidized glutaredoxin 2	GrxB
TAP-GLU			Tap<SUP>glu</SUP>	
MONOMER0-3	EG12407		&beta; cleavage product of IaaA	Spt, IaaA, YbiK
PHOSPHO-HYDH	EG10008		ZraS-<i>N</i>-phospho-L-histidine	ZraS-P<sup>his254</sup>
PHOSPHO-EVGA	EG11609		DNA-binding transcriptional activator EvgA-phosphorylated	EvgA-P<sup>asp</sup>, EvgA response regulator - phosphorylated
CPLX0-8279			murein lipoprotein	Braun lipoprotein
PHOSPHO-BAER	EG11618		DNA-binding transcriptional activator BaeR-phosphorylated	BaeR-P<SUP>asp61</SUP>, BaeR response regulator - phosphorylated
ARCB-CPLX			sensor histidine kinase ArcB	ArcB
MONOMER0-4185	EG11610		EvgS-phospho-L-aspartate	EvgS-P<sup>asp1009</sup>, phosphorylated EvgS
CPLX0-8267			TorS-phospho-L-aspartate-723	
PHOSPHO-ARCB717	EG10062		ArcB-<i>N</i>-phospho-L-histidine-717	ArcB, ArcB-P<SUP>his717</SUP>
TSR-GLUME			Tsr<SUP>glu-Me</SUP>	
MONOMER0-4299	EG11367		BarA-<i>N</i>-phospho-L-histidine-861	BarA-P<sup>his861</sup>, His-861 phosphorylated BarA
SAMDC-ALPHA-MONOMER	EG10962		&alpha; cleavage product of SpeD	
PHOSPHO-PHOP	EG10731		DNA-binding transcriptional dual regulator PhoP-phosphorylated	PhoP, PhoP-P<sup>asp51</sup>, PhoP response regulator - phosphorylated
PHOSPHO-CREC			CreC-<i>N</i>-phospho-L-histidine	PhoM, CreC, CreC-P<sup>his265</sup>, sensory histidine kinase CreC - phosphorylated
CPLX0-8115			&beta;-glucoside specific PTS enzyme II - cys24 phosphorylated	BglF-P<sup>cys24</sup>
PHOSPHO-ARCA	EG10061		DNA-binding transcriptional dual regulator ArcA-phosphorylated	ArcA-P<sup>asp54</sup>, ArcA response regulator - phosphorylated, FexA, Dye, CpxC, SfrA, ArcA, Seg, Msp
TRG-GLUME			Trg<SUP>glu-Me</SUP>	
PHOSPHO-OMPR			DNA-binding transcriptional dual regulator OmpR-phosphorylated	OmpR-P<SUP>asp55</SUP>, OmpR response regulator - phosphorylated
KETOBUTFORMLY-MONOMER	G7627		activated 2-oxobutanoate formate-lyase / pyruvate formate-lyase 4	YhaS, TdcE, PFL4, activated 2-ketobutyrate formate-lyase / pyruvate formate-lyase 4
PHOSPHO-CPXA			CpxA-<i>N</i>-phospho-L-histidine	CpxA-P<sup>his248</sup>, CpxA phosphorylated
CPLX0-2821			TorR-TorI	
TAR-GLUME			Tar<SUP>glu-Me</SUP>	
PROTEIN-NRIIP			NtrB-<i>N</i>-phospho-L-histidine	NtrB-P<sup>his139</sup>, phospho-NtrB, NRII-phosphate
PHOSPHO-NARP	EG11527		DNA-binding transcriptional dual regulator NarP-phosphorylated	NarP, NarP-P<sup>asp59</sup>, NarP response regulator - phosphorylated
CHEA-CPLX			chemotaxis protein CheA(L)	chemotaxis kinase-phosphotransferase CheA(L), CheA, CheAL
OX-GLUTAREDOXIN-C	EG12294		oxidized glutaredoxin 3	YibM, GrxC
TAP-GLUME			Tap<SUP>glu-Me</SUP>	
PHOSPHO-TORR			DNA-binding transcriptional dual regulator TorR-phosphorylated	TorR, TorR response regulator - phosphorylated, TorR-P<SUP>asp53</SUP>
PHOSPHO-KDPD			KdpD-<i>N</i>-phospho-L-histidine	KdpD
CPLX0-9039			sensor histidine kinase HprS	
PHOSPHO-EVGS	EG11610		EvgS-<i>N</i>-phospho-L-histidine-1137	EvgS-P<SUP>his1137</SUP>
CPLX0-8307			sensor histidine kinase DcuS	
BCCP-BIOTIN			biotinylated biotin-carboxyl carrier protein	FabE, AccB, [acetyl-CoA:carbon-dioxide ligase (ADP forming)], BCCP-biotin, biotin-BCCP
OX-FERREDOXIN	EG11328		oxidized ferredoxin	Fdx
PHOSPHO-RCSC	EG10822		RcsC-<i>N</i>-phospho-L-histidine	RcsC-P<SUP>his479</SUP>
CPLX0-8268			TorS-<i>N</i>-phospho-L-histidine-850	
PHOSPHO-ATOC	EG11668		DNA-binding transcriptional activator AtoC-phosphorylated	AtoC-P<sup>asp55</sup>, AtoC response regulator - phosphorylated
SAMDC-BETA-MONOMER	EG10962		&beta; cleavage product of SpeD	
PHOSPHO-PHOQ			PhoQ-<i>N</i>-phospho-L-histidine	PhoQ, PhoQ-P<SUP>his277</SUP>, sensory histidine kinase PhoQ - phosphorylated
PHOSPHO-DCUR-MONOMER	G7826		DcuR	YjdG
CPLX0-8117			BglG - his208 phosphorylated	BglG-P<sup>his208</sup>
PHOSPHO-ARCB-ASP	EG10062		ArcB-phospho-L-aspartate-576	ArcB, ArcB-P<sup>asp576</sup>
ACECITLY-CPLX			citrate lyase	citrate lyase, active, acetyl-citrate lyase
TSR-GLN			Tsr<SUP>gln</SUP>	
PYRUVFORMLY-CPLX			activated pyruvate-formate lyase	
MONOMER0-4170	EG10150		CheY-acetylated	modified chemotaxis regulator transmitting signal to flagellar motor component, acetylated CheY
PHOSPHO-CPXR	EG10020		CpxR-phosphorylated	CpxR response regulator - phosphorylated
CPLX0-7657			BglG - his101 phosphorylated	BglG-P<sup>his101</sup>
PHOSPHASERDECARB-ALPHA-MONOMER	EG10775		phosphatidylserine decarboxylase, &alpha; chain	Psd
TRG-GLN			Trg<SUP>gln</SUP>	
PROTEIN-NRIP			DNA-binding transcriptional dual regulator NtrC-phosphorylated	NtrC-P<sup>asp54</sup>, NRI, NtrC response regulator - phosphorylated
PHOSPHO-NARQ			NarQ-<i>N</i>-phospho-L-histidine	NarQ, NarQ-P<sup>his370</sup>
PHOSPHO-CHEB	EG10147		CheB-P<SUP>asp</SUP>	CheB, protein-glutamate methylesterase-P<sup>asp</sup>, CheB-phosphate, phospho-CheB, peptidoglutaminase II
CPLX0-10120			CsrA-phosphorylated complex with CsrB RNA	CsrA-P<sup>ser59</sup> complex with CsrB RNA
OX-THIOREDOXIN-MONOMER	EG11031		oxidized thioredoxin 1	DasC, TsnC, FipA, TrxA, thioredoxin(S)<sub>2</SUB>
TAR-GLN			Tar<SUP>gln</SUP>	
PHOSPHO-UHPA	EG11051		UhpA-Phosphorylated	UhpA
PHOSPHO-KDPE	EG10517		KdpE-Phosphorylated	
CPLX0-9041			HprS-<i>N</i>-phospho-L-histidine	
CPLX0-8566			NtrC phosphorylated dimer	
PHOSPHO-BARA-ASP	EG11367		BarA-phospho-L-aspartate-718	Asp-718 phosphorylated BarA, BarA-P<SUP>asp718</SUP>
BCCP-BIOTIN-CO2			carboxybiotin-carboxyl-carrier protein	FabE, AccB, BCCP-biotin-CO<SUB>2</SUB>
OX-FLAVODOXIN1	EG10318		oxidized flavodoxin 1	FldA
TAP-GLN			Tap<SUP>gln</SUP>	
MONOMER0-4194	EG10822		RcsC-phospho-L-aspartate	RcsC-P<sup>asp875</sup>
PHOSPHO-RSTA	G6864		DNA-binding transcriptional regulator RstA-phosphorylated	UrpT, RstA-P<sup>asp52</sup>, RstA response regulator - phosphorylated
MONOMER0-2863			oxidized ribonucleoside-triphosphate reductase	
PHOSPHO-HYDG	EG10482		DNA-binding transcriptional activator ZraR-phosphorylated	ZraR-P<sup>asp56</sup>, HydG, ZraR response regulator - phosphorylated
PHOSPHO-ENVZ			EnvZ-<i>N</i>-phospho-L-histidine	EnvZ-P<sup>his243</sup>, sensor histidine kinase EnvZ - phosphorylated
CPLX0-8274			CheA(L) - phosphorylated	CheA(L)-P<sup>his48</sup>
PHOSPHO-ATOS			AtoS-<i>N</i>-phospho-L-histidine	AtoS-P<sup>his398</sup>, phosphorylated AtoS
ADENYLYL-GS	EG10383		adenylyl-[glutamine synthetase]	GlnA, adenylyl-[L-glutamate:ammonia Ligase (ADP-forming)], adenylyl-GS
MONOMER0-4184	EG11610		EvgS-<i>N</i>-phospho-L-histidine-721	EvgS-P<sup>his721</sup>, phosphorylated EvgS
PHOSPHO-PHOR			PhoR-<i>N</i>-phospho-L-histidine	PhoR, NmpB, PhoR-P<sup>his213</sup>, sensory histidine kinase PhoR - phosphorylated
MONOMER0-2	EG12407		&alpha; cleavage product of IaaA	Spt, IaaA, YbiK
CPLX0-8265			TorS-<i>N</i>-phospho-L-histidine-443	
PHOSPHO-ARCB-HIS	EG10062		ArcB-<i>N</i>-phospho-L-histidine-292	ArcB, ArcB-P<sup>his292</sup>
TSR-GLU			Tsr<SUP>glu</SUP>	
PHOSPHO-PHOB	EG10728		DNA-binding transcriptional dual regulator PhoB-phosphorylated	PhoT, PhoB response regulator - phosphorylated, PhoB-P<sup>asp53</sup>
MONOMER0-1	EG11140		DNA-binding transcriptional activator UvrY-phosphorylated	YecB, UvrY, UvrY-P<sup>asp54</sup>, UvrY response regulator - phosphorylated
PHOSPHO-CREB	EG11218		DNA-binding transcriptional regulator CreB-phosphorylated	YjjE, CreB-P<sup>asp54</sup>, CreB response regulator - phosphorylated
CPLX0-8075			HypT-[Met-oxidized] DNA-binding transcriptional dual regulator	YjiE, HypT-[Met-oxidized]
PHOSPHASERDECARB-BETA-MONOMER	EG10775		phosphatidylserine decarboxylase, &beta; chain	Psd
TRG-GLU			Trg<SUP>glu</SUP>	
MONOMER0-4152	EG11297		thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub>	PpfA, IarA, Dsf, DsbA
PHOSPHO-NARX			NarX-<i>N</i>-phospho-L-histidine	NarR, FrdR, NarX, NarX-P<sup>his399</sup>
ISOCITHASE-P			isocitrate dehydrogenase-P	[isocitrate dehydrogenase (NADP+)]-phosphate, isocitrate dehydrogenase phosphate
YHCL-MONOMER	G7679	P45428	putative transporter DcuD	YhcL, DcuD
EG11969-MONOMER	EG11969	P0ACS5	DNA-binding transcriptional activator ZntR	YhdM, ZntR
GLNS-MONOMER	EG10390	P00962	glutamine&mdash;tRNA ligase	GlnS, GlnRS
FHUC-MONOMER	EG10304	P07821	iron(III) hydroxamate ABC transporter ATP binding subunit	
EG10600-MONOMER	EG10600	P0A6F9	cochaperonin GroES	GroS, GroES, MopB, cpn10
G6530-MONOMER	G6530	P75906	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase	YcdR, HmsF, PgaB
EG11294-MONOMER	EG11294	P62615	4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase	Ipk, YchB, IspE
MONOMER0-341	EG10738	P0A921	outer membrane phospholipase A	PldA, OMPLA
G7003-MONOMER	G7003	P76268	DNA-binding transcriptional repressor KdgR	YebP, KdgR
PD03867	EG10819	P0ACQ0	DNA-binding transcriptional dual regulator RbsR	RbsR, regulator for rbs operon
G7494-MONOMER	G7494	Q46808	XdhC-CoxI family protein YqeB	YqeB, conserved protein with NAD(P)-binding Rossman fold YqeB
YEJA-MONOMER	EG12037	P33913	putative oligopeptide ABC transporter periplasmic binding protein YejA	
EG11938-MONOMER	EG11938	P32701	cyclic di-GMP phosphodiesterase PdeC	PdeC, YjcC
FCL-MONOMER	EG11788	P32055	GDP-L-fucose synthase	YefB, WcaG, Fcl
EG10542-MONOMER	EG10542	P0A9M0	Lon protease	Muc, Dir, Deg, LopA, CapR, Lon, DNA-binding, ATP-dependent protease La
BIOTIN-CARBOXYL-MONOMER	EG10276	P24182	biotin carboxylase	AccC, FabG
G6507-MONOMER	G6507	P75884	lipoprotein GfcB	YmcC, GfcB
EG11259-MONOMER	EG11259	P21499	RNase R	YjeC, Rnr, VacB
MONOMER0-2871	G0-10644	C1P604	uncharacterized protein YobI	YobI
G6986-MONOMER	G6986	P76251	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)	YeaU, TtuC, DmlA
PD01343	EG11540	P0A8G6	NAD(P)H:quinone oxidoreductase	WrbA
G7469-MONOMER	G7469	P77136	protein YqeK	YqeK
YDEF-MONOMER	EG11640	P31126	dipeptide exporter	YdeE, YdeF
GCVP-MONOMER	EG11810	P33195	glycine decarboxylase	GcvP, P-protein
EG11920-MONOMER	EG11920	P0A7C6	peptidase E	PepE, peptidase E, a dipeptidase where amino-terminal residue is aspartate
ENTC-MONOMER	EG10261	P0AEJ2	isochorismate synthase EntC	FepF, EntC, isochorismate synthase, enterobactin-specific, isochorismate synthase 1
EG10486-MONOMER	EG10486	P24192	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD	HydF, HypD, HypD, scaffold protein for assembly of the Fe-(CN)<sub>2</sub>CO cofactor
B2789-MONOMER	G7447	Q46916	galactarate/D-glucarate transporter GudP	GudP, GudT, YgcZ
G6490-MONOMER	G6490	P0AFL9	intermembrane transport protein PqiA	PqiA
EG11238-MONOMER	EG11238	P12994	putative kinase inhibitor	YbhB
MONOMER0-2829	G0-10607	P58036	uncharacterized protein YjbS	YjbS
G6969-MONOMER	G6969	P0ACY3	protein kinase YeaG	YeaG
G7452-MONOMER	G7452	Q46920	7-cyano-7-deazaguanine reductase	YqcD, QueF
PD00413	EG11042	P07604	DNA-binding transcriptional dual regulator TyrR	TyrR
YCGO-MONOMER	G6620	P76007	putative K<sup>+</sup>:H<sup>+</sup> antiporter	CvrA, YcgO
GABATRANSAM-MONOMER	EG10361	P22256	4-aminobutyrate aminotransferase GabT	GabT
EG11900-MONOMER	EG11900	P33229	Rac prophage; endodeoxyribonuclease toxin RalR	RalR, YdaB, Lar, Rac prophage, DNA endonuclease toxin of the RalRA toxin-antitoxin system, restriction alleviation and modification enhancement
EG12880-MONOMER	EG12880	P46139	diguanylate cyclase DgcN	DgcN, YfiN
EG10458-MONOMER	EG10458	P08957	type I restriction enzyme EcoKI methylase subunit	Hsp, Hsm, HsdM, host modification, DNA methylase M, type I restriction enzyme EcoKI M protein, type I restriction enzyme EcoKI methyltransferase component
B1690-MONOMER	G6916	P76197	putative exporter YdiM	YdiM
G6470-MONOMER	G6470	P43674	periplasmic protease YcaL	YcaL
EG11209-MONOMER	EG11209	P0A7C8	putative phosphate starvation-inducible protein PsiE	PsiE, YjbA
MONOMER0-2812	G0-10583	A5A605	uncharacterized protein YkfM	YkfM
G6948-MONOMER	G6948	P76222	AhpD-like domain-containing protein YnjA	YnjA
G7431-MONOMER	G7431	P65870	6-carboxy-5,6,7,8-tetrahydropterin synthase	SscR, YgcM, QueD
PD00268	EG10989	P0ACQ7	DNA-binding transcriptional activator TdcA	TdcA, transcriptional activator of tdc operon
YBBA-MONOMER	EG11657	P0A9T8	putative ABC transporter ATP-binding protein YbbA	YbbA
G7940-MONOMER	G7940	P39394	nucleoid-associated protein SymE	SosC, DinL, YjiW, SymE, toxin-like protein of the SOS response, toxic protein SymE
EG11877-MONOMER	EG11877	P0AAB8	universal stress protein D	UspD, YiiT, stress protein involved in resistance to UV irradiation
EG12851-MONOMER	EG12851	P0AAT9	DUF1451 domain-containing protein YbeL	YbeL
EG10415-MONOMER	EG10415	P0A6W5	transcription elongation factor GreA	GreA
B0511-MONOMER	G6280	P75712	allantoin transporter	AllW, AllP, YbbW
G6448-MONOMER	G6448	P0AAZ0	putative inner membrane protein	YbjO
EG11186-MONOMER	EG11186	P0ADJ8	PF05360 family inner membrane protein YiaA	YiaA
MONOMER0-2694	G0-10472	P64646	toxin of the GhoTS toxin-antitoxin system	GhoT, YjdO
G6925-MONOMER	G6925	P76204	anti-FlhDC factor RflP	RflP, YdiV
G7414-MONOMER	G7414	P0AEV9	hydrogenase 3 maturation protease	HycI, HycE processing protein
PD00205	EG10533	P0A7C2	DNA-binding transcriptional repressor LexA	Tsl, Spr, UmuA, ExrA, LexA
XANTHOSINEPHOSPHORY-MONOMER	G85	P45563	xanthosine phosphorylase	PndA, XapA
G7921-MONOMER	G7921	P69856	<i>N</i>-acetylneuraminate outer membrane channel	NanC, YjhA
EG11849-MONOMER	EG11849	P32144	DNA-binding transcriptional dual regulator CsqR	CsqR, YihW
EG12705-MONOMER	EG12705	P0ADS9	DUF2884 domain-containing protein YggN	EcfF, YggN
EG10339-MONOMER	EG10339	P0ABH0	cell division protein FtsA	DivA, FtsA, essential cell division protein FtsA
ATOD-MONOMER	EG11669	P76458	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;	AtoD
G6427-MONOMER	G6427	P75794	putative pyruvate formate-lyase activating enzyme YbiY	YbiY, PflE
EG11162-MONOMER	EG11162	P11663	fumarase E	FumE, YggD, predicted DNA-binding transcriptional regulator
MONOMER0-2677	G0-10455	P0AD10	DUF2766 domain-containing protein YecJ	YecJ
G6904-MONOMER	G6904	P76193	L,D-transpeptidase LdtE	YnhG, LdtE
G7384-MONOMER	G7384	P76612	DUF5508 domain-containing protein YpjB	YpjB
ORNDECARBOX-BIO-MONOMER	EG10961	P21169	constitutive ornithine decarboxylase	SpeC, ornithine decarboxylase, biosynthetic
UHPT-MONOMER	EG11054	P0AGC0	hexose-6-phosphate:phosphate antiporter	UhpT, UhpT-hexose phosphate MFS transporter
G7891-MONOMER	G7891	P39343	DNA-binding transcriptional dual regulator IdnR	GntH, YjgS, IdnR
EG11828-MONOMER	EG11828	P32125	molybdopterin-guanine dinucleotide biosynthesis adaptor protein	YihC, MobB
EG12624-MONOMER	EG12624	P0A9V5	putative DNA-binding transcriptional regulator YiaG	YiaG
EG10302-MONOMER	EG10302	P06971	ferrichrome outer membrane transporter/phage receptor	TonA, FhuA
ASCF-MONOMER	EG10086	P24241	&beta;-glucoside specific PTS enzyme IIBC component	Sac, AscF
G6407-MONOMER	G6407	P0AAW1	endonuclease/exonuclease/phosphatase domain-containing protein YbhP	YbhP
EG11142-MONOMER	EG11142	P17994	DUF2138 domain-containing protein YfaA	PufY, YfaA
MONOMER0-2656	G0-10434	Q2EEQ2	50S ribosomal subunit protein L36B	YkgO
G6886-MONOMER	G6886	P0AGD1	superoxide dismutase (Cu-Zn)	SodC, bacteriocuprein
G7364-MONOMER	G7364	P52128	CP4-57 prophage; protein YfjM	YfjM
NUON-MONOMER	EG12093	P0AFF0	NADH:quinone oxidoreductase subunit N	NuoN, NADH:ubiquinone oxidoreductase, membrane subunit N
UDPACYLGLCNACDEACETYL-MONOMER	EG10265	P0A725		EnvA, AsmB, LpxC
G7873-MONOMER	G7873	P0AE45	putative cadaverine/putrescine exporter	PaeA, YtfL
EG11803-MONOMER	EG11803	P0AAN1	hydrogenase 2-specific chaperone	HybE
EG12438-MONOMER	EG12438	P37355	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	YfbB, MenH
EG10246-MONOMER	EG10246	P0AEZ7	membrane-bound lytic murein transglycosylase D	YafG, MltD, DniR
AROC-MONOMER	EG10075	P12008	chorismate synthase	AroC
G6382-MONOMER	G6382	P75746	5-oxoprolinase component A	PxpA, YbgL, putative lactam utilization protein, putative glycoside hydrolase YbgL
EG11123-MONOMER	EG11123	P21365	putative inner membrane protein	YciC
MONOMER0-1641	G0-9621	Q2EES9	CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor	TorI
G6867-MONOMER	G6867	P0ACT6	DNA-binding transcriptional repressor UidR	GusR, UidR
G7346-MONOMER	G7346	P52102	putative 4Fe-4S cluster-containing protein YfhL	YfhL
NRDF-MONOMER	EG12381	P37146	ribonucleoside-diphosphate reductase 2 subunit &beta;	YgaD, NrdF
TRYPSYN-BPROTEIN	EG11025	P0A879	tryptophan synthase subunit &beta;	TrpB, &beta; subunit
G7854-MONOMER	G7854	P0A9W0	DNA-binding transcriptional repressor UlaR	UlaR, YjfQ
EG11769-MONOMER	EG11769	P33668	PF15631 family protein YbbC	YbbC
EG12402-MONOMER	EG12402	P0AE63	putative cation transport regulator ChaB	ChaB
EG10218-MONOMER	EG10218	P09549	cell division protein DedD	DedD
ARABISOM-MONOMER	EG10052	P08202	L-arabinose isomerase	AraA
G6354-MONOMER	G6354	P77296	Sel1 repeat-containing protein YbeT	YbeT
EG11100-MONOMER	EG11100	P0A8B5	putative nucleoid-associated protein YbaB	YbaB, conserved DNA-binding protein YbaB
MONOMER0-1501	EG11596	P0AEZ9	protein MoaB	MoaB
G6843-MONOMER	G6843	P67553	PF06788 family lipoprotein YnfC	YnfC, UPF0257 family lipoprotein YnfC
G7320-MONOMER	G7320	P77774	outer membrane protein assembly factor BamB	YfgL
NICONUCADENYLYLTRAN-MONOMER	G6350	P0A752	nicotinate-nucleotide adenylyltransferase	FusB, YbeN, NadD
TRANSALDOLB-MONOMER	EG11556	P0A870	transaldolase B	YaaK, TalB
G7838-MONOMER	G7838	P39283	uncharacterized protein YjeN	YjeN
EG11741-MONOMER	EG11741	P0ACT2	DNA-binding transcriptional repressor EnvR	YhdK, AcrS, EnvR
EG12375-MONOMER	EG12375	P37443	metallo-&beta;-lactamase superfamily inner membrane protein YcaI	YcaI
EG10153-MONOMER	EG10153	P12281	molybdopterin molybdotransferase	NarE, ChlE, BisB, MoeA
AMPG-MONOMER	EG12183	P0AE16	muropeptide:H<sup>+</sup> symporter	AmpG
G6325-MONOMER	G6325	P77506	DUF1158 domain-containing protein YbdJ	YbdJ
